Accession	Virus Taxonomic ID	Collapse TaxId	Collapse Name
LC626898.1	39054	138948	Enterovirus A
LC626897.1	39054	138948	Enterovirus A
LC626896.1	39054	138948	Enterovirus A
LC626895.1	39054	138948	Enterovirus A
LC626894.1	39054	138948	Enterovirus A
LC626893.1	39054	138948	Enterovirus A
LC626892.1	39054	138948	Enterovirus A
LC626891.1	39054	138948	Enterovirus A
LC626890.1	39054	138948	Enterovirus A
LC626889.1	39054	138948	Enterovirus A
LC626888.1	39054	138948	Enterovirus A
LC626887.1	39054	138948	Enterovirus A
LC626886.1	39054	138948	Enterovirus A
LC626885.1	39054	138948	Enterovirus A
LC626884.1	39054	138948	Enterovirus A
LC626883.1	39054	138948	Enterovirus A
LC626882.1	39054	138948	Enterovirus A
LC626881.1	39054	138948	Enterovirus A
LC626880.1	39054	138948	Enterovirus A
LC626879.1	39054	138948	Enterovirus A
LC626878.1	39054	138948	Enterovirus A
LC626877.1	39054	138948	Enterovirus A
LC626876.1	39054	138948	Enterovirus A
LC626875.1	39054	138948	Enterovirus A
LC626874.1	39054	138948	Enterovirus A
LC626873.1	39054	138948	Enterovirus A
LC626872.1	39054	138948	Enterovirus A
LC506516.1	39054	138948	Enterovirus A
LC506515.1	39054	138948	Enterovirus A
LC506514.1	39054	138948	Enterovirus A
LC506513.1	39054	138948	Enterovirus A
KY425527.1	39054	138948	Enterovirus A
KY074644.1	39054	138948	Enterovirus A
KY074643.1	39054	138948	Enterovirus A
KY014080.1	39054	138948	Enterovirus A
KY014079.1	39054	138948	Enterovirus A
KY014078.1	39054	138948	Enterovirus A
KX893543.1	39054	138948	Enterovirus A
KX752783.1	39054	138948	Enterovirus A
KU936132.1	39054	138948	Enterovirus A
KU936131.1	39054	138948	Enterovirus A
KU936130.1	39054	138948	Enterovirus A
KU936129.1	39054	138948	Enterovirus A
KU936128.1	39054	138948	Enterovirus A
KU936127.1	39054	138948	Enterovirus A
KU936126.1	39054	138948	Enterovirus A
KU936125.1	39054	138948	Enterovirus A
KU936124.1	39054	138948	Enterovirus A
KU936123.1	39054	138948	Enterovirus A
KU936122.1	39054	138948	Enterovirus A
KU936121.1	39054	138948	Enterovirus A
KU936120.1	39054	138948	Enterovirus A
KU254596.1	39054	138948	Enterovirus A
KU254595.1	39054	138948	Enterovirus A
KT354875.1	39054	138948	Enterovirus A
KT354874.1	39054	138948	Enterovirus A
KT354873.1	39054	138948	Enterovirus A
KT354872.1	39054	138948	Enterovirus A
KT354871.1	39054	138948	Enterovirus A
KT354870.1	39054	138948	Enterovirus A
KT354869.1	39054	138948	Enterovirus A
KT354868.1	39054	138948	Enterovirus A
KT354867.1	39054	138948	Enterovirus A
KT354866.1	39054	138948	Enterovirus A
KT345960.1	39054	138948	Enterovirus A
KT345959.1	39054	138948	Enterovirus A
KP308459.1	39054	138948	Enterovirus A
KP308458.1	39054	138948	Enterovirus A
KP308457.1	39054	138948	Enterovirus A
KP308454.1	39054	138948	Enterovirus A
KP308453.1	39054	138948	Enterovirus A
KP308452.1	39054	138948	Enterovirus A
KP308451.1	39054	138948	Enterovirus A
KP308450.1	39054	138948	Enterovirus A
KP308449.1	39054	138948	Enterovirus A
KP308444.1	39054	138948	Enterovirus A
KP308443.1	39054	138948	Enterovirus A
KP308442.1	39054	138948	Enterovirus A
KP308441.1	39054	138948	Enterovirus A
KP308440.1	39054	138948	Enterovirus A
KP308439.1	39054	138948	Enterovirus A
KP308438.1	39054	138948	Enterovirus A
KP308437.1	39054	138948	Enterovirus A
KP308436.1	39054	138948	Enterovirus A
KP308434.1	39054	138948	Enterovirus A
KP308433.1	39054	138948	Enterovirus A
KP308432.1	39054	138948	Enterovirus A
KP308431.1	39054	138948	Enterovirus A
KP308430.1	39054	138948	Enterovirus A
KP308429.1	39054	138948	Enterovirus A
KP308428.1	39054	138948	Enterovirus A
KP308424.1	39054	138948	Enterovirus A
